bc_wells,subcluster
06_05_96,D7_1
06_06_11,D7_2
06_06_50,D7_4
06_06_78,D7_1
06_06_94,D7_4
06_07_13,D7_1
06_07_14,D7_2
06_07_56,D7_2
06_07_64,D7_1
06_07_76,D7_2
06_08_21,D7_1
06_08_30,D7_1
06_08_60,D7_2
06_08_61,D7_1
06_10_06,D7_1
06_10_21,D7_1
06_10_25,D7_4
06_10_31,D7_1
06_10_39,D7_1
06_10_47,D7_2
06_10_59,D7_1
06_10_68,D7_1
06_10_76,D7_4
06_11_46,D7_2
06_11_96,D7_2
06_12_06,D7_1
06_12_40,D7_1
06_12_42,D7_1
06_12_52,D7_4
06_12_63,D7_4
06_12_69,D7_1
06_12_75,D7_1
06_12_83,D7_3
06_12_94,D7_1
06_13_17,D7_1
06_13_27,D7_2
06_13_49,D7_4
06_14_14,D7_1
06_14_40,D7_1
06_14_48,D7_1
06_14_96,D7_4
06_15_47,D7_1
06_15_48,D7_2
06_15_91,D7_3
06_16_43,D7_2
06_16_54,D7_3
06_16_57,D7_3
06_16_81,D7_4
06_16_85,D7_1
06_17_44,D7_1
06_17_56,D7_2
06_17_85,D7_2
06_18_22,D7_4
06_18_56,D7_4
06_18_66,D7_1
06_18_75,D7_4
06_18_82,D7_2
06_18_85,D7_2
06_18_94,D7_4
06_19_06,D7_1
06_19_41,D7_2
06_20_09,D7_2
06_20_15,D7_2
06_20_52,D7_1
06_20_71,D7_1
06_21_05,D7_1
06_21_26,D7_3
06_21_91,D7_1
06_21_96,D7_1
06_22_08,D7_1
06_22_25,D7_1
06_22_59,D7_1
06_22_63,D7_1
06_22_72,D7_1
06_22_94,D7_1
06_23_27,D7_3
06_23_31,D7_3
06_23_40,D7_1
06_23_70,D7_1
06_23_91,D7_1
06_24_19,D7_1
06_24_31,D7_3
06_24_34,D7_1
06_24_36,D7_4
06_24_37,D7_1
06_24_40,D7_1
06_24_60,D7_4
06_24_62,D7_1
06_24_74,D7_4
06_25_09,D7_4
06_25_15,D7_4
06_25_31,D7_2
06_25_39,D7_1
06_25_44,D7_1
06_25_51,D7_2
06_25_56,D7_1
06_25_70,D7_1
06_25_73,D7_1
06_26_27,D7_1
06_26_51,D7_2
06_26_64,D7_1
06_26_91,D7_1
06_27_01,D7_1
06_27_28,D7_1
06_27_49,D7_1
06_27_60,D7_4
06_27_62,D7_1
06_27_64,D7_1
06_27_86,D7_1
06_28_07,D7_4
06_28_21,D7_4
06_28_56,D7_1
06_28_83,D7_2
06_29_01,D7_2
06_29_25,D7_2
06_29_36,D7_1
06_29_49,D7_2
06_29_60,D7_4
06_29_89,D7_2
06_29_94,D7_1
06_30_05,D7_1
06_30_11,D7_1
06_30_38,D7_2
06_30_63,D7_3
06_30_65,D7_1
06_30_70,D7_1
06_30_78,D7_1
06_31_48,D7_3
06_31_52,D7_3
06_31_65,D7_2
06_31_79,D7_2
06_31_90,D7_3
06_32_10,D7_2
06_32_42,D7_1
06_32_45,D7_2
06_32_52,D7_1
06_32_64,D7_1
06_32_67,D7_2
06_32_72,D7_1
06_32_73,D7_2
06_33_28,D7_2
06_33_59,D7_3
06_33_94,D7_2
06_34_20,D7_1
06_34_57,D7_1
06_34_86,D7_4
06_35_21,D7_2
06_35_57,D7_3
06_35_60,D7_1
06_35_88,D7_3
06_36_01,D7_4
06_36_19,D7_1
06_36_31,D7_2
06_36_37,D7_1
06_36_54,D7_2
06_36_90,D7_1
06_36_96,D7_1
06_37_21,D7_1
06_37_23,D7_2
06_37_35,D7_4
06_37_40,D7_1
06_37_59,D7_3
06_37_60,D7_1
06_37_88,D7_2
06_37_89,D7_1
06_38_04,D7_1
06_38_57,D7_4
06_38_67,D7_2
06_38_70,D7_2
06_38_76,D7_1
06_38_82,D7_1
06_38_95,D7_1
06_39_12,D7_4
06_39_21,D7_3
06_39_44,D7_4
06_39_51,D7_3
06_40_21,D7_4
06_40_25,D7_2
06_40_43,D7_1
06_40_67,D7_1
06_40_72,D7_1
06_40_78,D7_4
06_40_94,D7_3
06_41_08,D7_1
06_41_27,D7_2
06_41_79,D7_2
06_42_15,D7_2
06_42_22,D7_4
06_42_45,D7_1
06_42_51,D7_4
06_42_65,D7_1
06_42_78,D7_1
06_43_36,D7_3
06_43_37,D7_1
06_43_53,D7_1
06_43_64,D7_1
06_43_80,D7_1
06_43_87,D7_1
06_44_01,D7_2
06_44_36,D7_1
