cell_id,cell_type,lineage,level_1,level_2,level_3,level_4,level_5
CL:0002591,smooth muscle cell of the pulmonary artery,"[locstr('blood vessel smooth muscle cell', 'en'), 'vascular associated smooth muscle cell', 'smooth muscle cell', 'non-striated muscle cell', 'muscle cell', 'contractile cell', 'native cell', 'cell']",,,,,
CL:0009089,lung pericyte,"['pericyte', 'contractile cell', 'native cell', 'cell']",pericyte,,,,
CL:0019018,blood vessel smooth muscle cell,"['vascular associated smooth muscle cell', 'smooth muscle cell', 'non-striated muscle cell', 'muscle cell', 'contractile cell', 'native cell', 'cell']",,,,,
CL:0000875,non-classical monocyte,"['monocyte', 'myeloid leukocyte', 'leukocyte', 'motile cell', 'native cell', 'cell']",monocyte,myeloid leukocyte,leukocyte,,
CL:0002193,myelocyte,"['myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",myeloid cell,hematopoietic cell,,,
CL:0000990,conventional dendritic cell,"['dendritic cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",dendritic cell,leukocyte,leukocyte,,
CL:0000860,classical monocyte,"['phagocyte', 'motile cell', 'native cell', 'cell']",phagocyte,,,,
CL:0000784,plasmacytoid dendritic cell,"['dendritic cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",dendritic cell,leukocyte,leukocyte,,
CL:0000878,central nervous system macrophage,"['tissue-resident macrophage', 'macrophage', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",macrophage,macrophage,leukocyte,leukocyte,
CL:0000863,inflammatory macrophage,"['elicited macrophage', 'macrophage', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",macrophage,macrophage,leukocyte,leukocyte,
CL:0000232,erythrocyte,"['blood cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood cell,hematopoietic cell,,,
CL:0000558,reticulocyte,"['erythroid lineage cell', 'myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",erythroid lineage cell,myeloid cell,hematopoietic cell,,
CL:0000765,erythroblast,"['erythroid lineage cell', 'myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",erythroid lineage cell,myeloid cell,hematopoietic cell,,
CL:2000055,liver dendritic cell,"['dendritic cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",dendritic cell,leukocyte,leukocyte,,
CL:0000763,myeloid cell,"['hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",hematopoietic cell,,,,
CL:0000097,mast cell,"['myeloid leukocyte', 'leukocyte', 'motile cell', 'native cell', 'cell']",myeloid leukocyte,leukocyte,,,
CL:0002355,primitive red blood cell,"['primitive erythroid lineage cell', 'erythroid lineage cell', 'myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",erythroid lineage cell,erythroid lineage cell,myeloid cell,hematopoietic cell,
CL:0000775,neutrophil,"['granulocyte', 'blood cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",granulocyte,blood cell,hematopoietic cell,,
CL:0000556,megakaryocyte,"['myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",myeloid cell,hematopoietic cell,,,
CL:0000771,eosinophil,"['granulocyte', 'blood cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",granulocyte,blood cell,hematopoietic cell,,
CL:0000767,basophil,"['granulocyte', 'blood cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",granulocyte,blood cell,hematopoietic cell,,
CL:0000583,alveolar macrophage,"['tissue-resident macrophage', 'macrophage', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",macrophage,macrophage,leukocyte,leukocyte,
CL:0002393,intermediate monocyte,"['monocyte', 'myeloid leukocyte', 'leukocyte', 'motile cell', 'native cell', 'cell']",monocyte,myeloid leukocyte,leukocyte,,
CL:0002399,CD1c-positive myeloid dendritic cell,"['myeloid dendritic cell', 'myeloid leukocyte', 'leukocyte', 'motile cell', 'native cell', 'cell']",myeloid leukocyte,myeloid leukocyte,leukocyte,,
CL:1000698,kidney resident macrophage,"['tissue-resident macrophage', 'macrophage', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",macrophage,macrophage,leukocyte,leukocyte,
CL:0000233,platelet,"['blood cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood cell,hematopoietic cell,,,
CL:0009038,colon macrophage,"['macrophage', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",macrophage,leukocyte,leukocyte,,
CL:0002394,CD141-positive myeloid dendritic cell,"['myeloid dendritic cell', 'myeloid leukocyte', 'leukocyte', 'motile cell', 'native cell', 'cell']",myeloid leukocyte,myeloid leukocyte,leukocyte,,
CL:0000782,myeloid dendritic cell,"['myeloid leukocyte', 'leukocyte', 'motile cell', 'native cell', 'cell']",myeloid leukocyte,leukocyte,,,
CL:0001071,group 3 innate lymphoid cell,"['innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",innate lymphoid cell,lymphocyte,,,
CL:0001069,group 2 innate lymphoid cell,"['innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",innate lymphoid cell,lymphocyte,,,
CL:0001074,"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human","['immature innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",innate lymphoid cell,innate lymphoid cell,lymphocyte,,
CL:0001082,immature innate lymphoid cell,"['innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",innate lymphoid cell,lymphocyte,,,
CL:0001078,"group 3 innate lymphoid cell, human","['group 3 innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",innate lymphoid cell,innate lymphoid cell,lymphocyte,,
CL:0001080,"NKp44-negative group 3 innate lymphoid cell, human","['group 3 innate lymphoid cell, human', 'group 3 innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",innate lymphoid cell,innate lymphoid cell,innate lymphoid cell,lymphocyte,
CL:0001079,"NKp44-positive group 3 innate lymphoid cell, human","['group 3 innate lymphoid cell, human', 'group 3 innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",innate lymphoid cell,innate lymphoid cell,innate lymphoid cell,lymphocyte,
CL:0001077,"ILC1, human","['ILC1', 'group 1 innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",innate lymphoid cell,innate lymphoid cell,innate lymphoid cell,lymphocyte,
CL:0001081,"group 2 innate lymphoid cell, human","['group 2 innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",innate lymphoid cell,innate lymphoid cell,lymphocyte,,
CL:0002543,vein endothelial cell,"['blood vessel endothelial cell', 'squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood vessel endothelial cell,epithelial cell,epithelial cell,,
CL:0000115,endothelial cell,"['lining cell', 'barrier cell', 'native cell', 'cell']",,,,,
CL:0002585,retinal blood vessel endothelial cell,"['blood vessel endothelial cell', 'squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood vessel endothelial cell,epithelial cell,epithelial cell,,
CL:1001005,glomerular capillary endothelial cell,"['capillary endothelial cell', 'microvascular endothelial cell', 'blood vessel endothelial cell', 'squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood vessel endothelial cell,blood vessel endothelial cell,blood vessel endothelial cell,epithelial cell,epithelial cell
CL:0019022,endothelial cell of pericentral hepatic sinusoid,"['endothelial cell of hepatic sinusoid', 'endothelial cell of sinusoid', 'endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,endothelial cell,endothelial cell,,
CL:1000398,endothelial cell of hepatic sinusoid,"['endothelial cell of sinusoid', 'endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,endothelial cell,,,
CL:0019021,endothelial cell of periportal hepatic sinusoid,"['endothelial cell of hepatic sinusoid', 'endothelial cell of sinusoid', 'endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,endothelial cell,endothelial cell,,
CL:1000413,endothelial cell of artery,"['blood vessel endothelial cell', 'squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood vessel endothelial cell,epithelial cell,epithelial cell,,
CL:0002138,endothelial cell of lymphatic vessel,"['endothelial cell of vascular tree', 'endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell of vascular tree,endothelial cell,,,
CL:0002139,endothelial cell of vascular tree,"['endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,,,,
CL:1000892,kidney capillary endothelial cell,"['blood vessel endothelial cell', 'squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood vessel endothelial cell,epithelial cell,epithelial cell,,
CL:0002262,endothelial cell of sinusoid,"['endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,,,,
CL:0000704,endothelial tip cell,"['blood vessel endothelial cell', 'squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood vessel endothelial cell,epithelial cell,epithelial cell,,
CL:0002144,capillary endothelial cell,"['microvascular endothelial cell', 'blood vessel endothelial cell', 'squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood vessel endothelial cell,blood vessel endothelial cell,epithelial cell,epithelial cell,
CL:0002188,glomerular endothelial cell,"['endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,,,,
