,dataset_id,n_cells
232,5829c7ba-697f-418e-8b98-d605b192dc48,178815
233,58679288-9ecc-4647-9781-12a3a8f8c6fd,2833
234,58c43cc2-e00e-43c4-94eb-8501369264e1,27670
235,595c9010-99ec-462d-b6a1-2b2fe5407871,27092
236,59923449-e303-43e6-9e63-03ef92f5ebd1,25071
237,599504e5-d4ad-45bd-9128-823faf0fb9c9,16602
238,59b69042-47c2-47fd-ad03-d21beb99818f,49139
239,5a11f879-d1ef-458a-910c-9b0bdfca5ebf,31691
240,5a73f63f-18a2-49b5-b431-2c469c41a41b,20916
241,5ae6ab72-1927-4d5b-9826-86be65791293,20181
242,5af90777-6760-4003-9dba-8f945fec6fdf,270855
243,5ba85070-a41c-4184-9c18-cf34c3fd0f62,10742
244,5bc23cb2-8cfc-4960-bab1-c3027fbeefc4,28155
245,5bc42b88-bb76-4954-927b-8bb7369adc64,70325
246,5bdc423a-59e6-457d-aa01-debd2c9c564f,114605
247,5cdbb2ea-c622-466d-9ead-7884ad8cb99f,13607
248,5ce42b38-d867-487f-9b40-e8bb00b21d0b,97788
249,5d3fc988-765d-48ba-bfb5-151ef2988cac,49109
250,5e5ab909-f73f-4b57-98a0-6d2c5662f6a4,32306
251,5e5e7a2f-8f1c-42ac-90dc-b4f80f38e84c,20263
252,5e717147-0f75-4de1-8bd2-6fda01b8d75f,90957
253,605b89b1-c474-4180-8c0b-88afb5920991,113298
254,62315937-e268-4fa5-a032-8f7d776f3a3f,4778
255,62de80d7-e6c4-4ff0-ad4c-d3d36f57cb93,2598
256,639ffc23-14db-4060-9027-3c90314200f8,35290
257,63bb6359-3945-4658-92eb-3072419953e4,14970
258,6437bc9c-16cb-46c8-8f79-9a7384a0212a,44174
259,644a578d-ffdc-446b-9679-e7ab4c919c13,94256
260,646e3e87-e46b-4b12-85b5-8d8589e26088,317116
261,64767efb-49b0-4562-a1bd-e619a5d9db41,14979
262,64f4ad90-a422-400a-944d-4ce0f39594a7,33641
263,6538ce1b-7949-405f-b01c-a2c3e876baee,52650
264,65badd7a-9262-4fd1-9ce2-eb5dc0ca8039,881081
265,66d15835-5dc8-4e96-b0eb-f48971cb65e8,2544
266,693ae928-96ba-47de-b9d9-1321c675bfcd,33415
267,6a270451-b4d9-43e0-aa89-e33aac1ac74b,10696
268,6a30bf44-c490-41ac-965b-0bb58432b10a,40420
269,6acb6637-ac08-4a65-b2d1-581e51dc7ccf,7805
270,6c600df6-ddca-4628-a8bb-1d6de1e3f9b4,63608
271,6cda07c7-5d7a-41ba-9799-5bb73da25a60,3848
272,6ceeaa86-9ceb-4582-b390-6d4dd6ff0572,89849
273,6cf3634d-e911-44ad-bf52-c747a9af3c01,39433
274,6d41668c-168c-4500-b06a-4674ccf3e19d,5007
275,6dafb698-7a53-4699-ad13-1b5e2c164be7,5882
276,6e00ccf7-0749-46ef-a999-dba785630d52,5499
277,6ec405bb-4727-4c6d-ab4e-01fe489af7ea,7124
278,6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0,38259
279,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,1309414
280,700aed19-c16e-4ba8-9191-07da098a8626,91838
281,703f00e6-b996-48e5-bc34-00c41b9876f4,649
282,70e4f35b-c98c-45a1-9aa9-2053b07315dd,40815
283,715327a6-7978-4896-ba91-69d6b04dbbfb,40191
284,716a4acc-919e-4326-9672-ebe06ede84e6,113339
285,71be997d-ff75-41b9-8a9f-1288c865f921,54934
286,72822932-10f6-466f-baf3-a2c1d89364bc,20470
287,731e6380-879f-4b0b-9a1f-2150208852ef,2065
288,7357bdd2-e05b-4e87-acd9-e3a26382648b,24489
289,7357cee7-9f7f-4ab0-8cec-90de8f047e38,13680
290,738942eb-ac72-44ff-a64b-8943b5ecd8d9,36313
291,73b7d0aa-035f-4a15-9f1d-f56b70204591,4594
292,74520626-b0ba-4ee9-86b5-714649554def,76567
293,74cff64f-9da9-4b2a-9b3b-8a04a1598040,286326
294,74d584f0-74fc-482e-b944-e76f29c1ab85,82936
295,75a881cf-5d88-46e2-bf9b-97e5cbc1bd56,5331
296,75e6eee5-d0e3-4291-9360-f288ffe6c7c4,18567
297,76347874-8801-44bf-9aea-0da21c78c430,16475
298,76af615b-12fe-4ebb-b8c6-239ad29e26e3,13635
299,77044335-0ac5-4406-9b3f-8cdd3656d67b,23349
300,773b9b2e-70c8-40be-8cbb-e7b5abab360d,79522
301,774c18c5-efa1-4dc5-9e5e-2c824bab2e34,3589
302,77c1c785-809f-4065-8c54-6a0170783256,37767
303,78f10833-3e61-4fad-96c9-4bbd4f14bdfa,11541
304,78fd69d2-75e4-4207-819a-563139f273c6,125289
